,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes,Categories_Rest
2,Vida E Caffè,424,Café,-33.8800206224521,18.63583157110421,53884c6d498e39acdc8e2ea0,Bellville,13,Restaurant
4,Yuz Sushi,420,Sushi Restaurant,-33.88008035580786,18.635715593392188,4dc19693b0fb1c18ee67094d,Bellville,8,Restaurant
7,Cattle Baron Grill House,736,Steakhouse,-33.87873,18.63165,4daf12894df0f639f2595242,Bellville,20,Restaurant
8,Yummy zone,823,Sushi Restaurant,-33.87633671030918,18.636945057877476,4f47cbeae4b0683d4ec88271,Bellville,7,Restaurant
9,Copper Club Eatery,996,Burger Joint,-33.876739501953125,18.6301326751709,564dfed8498ee48b0efd5236,Bellville,5,Restaurant
10,Cantina Tequila,249,Mexican Restaurant,-33.88189197237465,18.63533815442785,4f9bb9cfe4b0b045845a4892,Bellville,9,Restaurant
13,Stones,356,Bar,-33.88067423375431,18.63574697560959,4d500e72abb4594169deb718,Bellville,3,Restaurant
15,Buckleys Pub and Foosball Bar,229,Bar,-33.88204412884141,18.63544355459686,4bf2c0cc55c7c9b6bb736204,Bellville,9,Restaurant
18,Vesuvio Pizzaria,929,Pizza Place,-33.877582220784895,18.630070122624964,4eea3dc80aafda6d14e95d11,Bellville,9,Restaurant
0,Kamili Coffee,217,Coffee Shop,-33.922034,18.41977,53ca29bb498e3cb77a910554,City Bowl,74,Restaurant
2,Bombay Brasserie,162,Indian Restaurant,-33.92476688168477,18.419785837838326,4baa769ff964a5207d6c3ae3,City Bowl,36,Restaurant
3,Aces 'n Spades,273,Bar,-33.92138527642458,18.42000551633646,502e9348e4b047efecff0430,City Bowl,121,Restaurant
5,Bread Milk & Honey,206,Café,-33.92551953577516,18.421444371745203,4b864d10f964a5203f8531e3,City Bowl,64,Restaurant
6,The Gin Bar,371,Cocktail Bar,-33.92273288691907,18.417150034224644,54d63408498e31d1e8e09e57,City Bowl,132,Restaurant
9,Moro Gelato,360,Dessert Shop,-33.924214,18.41714,597ca4f5a6fe4d0dfc06d374,City Bowl,14,Restaurant
10,Daddy cool,287,Bar,-33.921155,18.420494,4be0617898f2a593360cc25a,City Bowl,12,Restaurant
12,Yourstruly,370,Coffee Shop,-33.92431943340237,18.417055746248256,4cd50dac8e5b6a317f1b74ac,City Bowl,62,Restaurant
13,The Shortmarket Club,343,French Restaurant,-33.92131098622614,18.418652007874677,577801a2498ee32e9821b7ae,City Bowl,59,Restaurant
14,Honest Chocolate Café,370,Café,-33.92273011702641,18.417155985817132,54955dc0498e505982e2a598,City Bowl,49,Restaurant
15,Food Lover's Market,118,Restaurant,-33.92317129835544,18.41988525681402,50c98ac5e4b090de85b20bed,City Bowl,94,Restaurant
17,Tjing Tjing Rooftop Bar,253,Cocktail Bar,-33.92235980952539,18.418772457439854,4d8097c58edaa1439257f139,City Bowl,87,Restaurant
18,The Cousins Trattoria,331,Italian Restaurant,-33.926677235428954,18.421202509838977,51379f99e4b04f7260ce8840,City Bowl,29,Restaurant
19,House Of Machines,275,Café,-33.92161560058594,18.419389724731445,521898c511d265d4f79bf211,City Bowl,107,Restaurant
20,The Poké Co.,299,Sushi Restaurant,-33.921862,18.418624,5accea19bed4835eb87c3041,City Bowl,8,Restaurant
22,The Village Idiot,453,Gastropub,-33.91963019785271,18.421090721074922,555f5e28498ea0e938a87696,City Bowl,108,Restaurant
24,Truth Coffee HQ,536,Café,-33.92828568736539,18.4227945872331,4fa0c477e4b0c33ec64258bf,City Bowl,616,Restaurant
26,Bean There Coffee Roastery,373,Coffee Shop,-33.92283515899491,18.417093237284835,4e49354eae60fa723316be60,City Bowl,45,Restaurant
29,openwine,455,Wine Bar,-33.922128,18.416443,57d97be6498e4f64864d4d99,City Bowl,10,Restaurant
31,Masala Dosa,379,Indian Restaurant,-33.92437800442552,18.416960207400003,4c6280be4be3b713ef6edce8,City Bowl,23,Restaurant
33,Grub & Vine,356,Restaurant,-33.92139,18.41833,5bbe012951950e002c26ff58,City Bowl,4,Restaurant
34,Headquarters,465,Steakhouse,-33.920419243555834,18.417882249456348,4cf68a9a0a71224bc99b1e93,City Bowl,55,Restaurant
36,Giulios,534,Café,-33.918959,18.421861,56273b5a498ecd4ca37c123d,City Bowl,26,Restaurant
39,Charango,396,Restaurant,-33.92200831754915,18.41721519269555,55956ea8498eb48bebf7f563,City Bowl,31,Restaurant
40,Bocca,427,Italian Restaurant,-33.922334,18.416673,54524d47498efb7913d525c0,City Bowl,63,Restaurant
41,Villa 47,502,Italian Restaurant,-33.91922566759333,18.420307027825377,56f432f6498e1dd7c13576ce,City Bowl,68,Restaurant
43,Hemelhuijs,583,Café,-33.918540387172335,18.419910904186317,4cc07273575d236a34b7c48e,City Bowl,120,Restaurant
44,Lola's Café,607,Café,-33.926067281776994,18.415058766227723,4b586bc7f964a520f85628e3,City Bowl,84,Restaurant
45,BEERHOUSE,491,Gastropub,-33.925399,18.416083,50c897e7e4b0cd965f396404,City Bowl,278,Restaurant
46,Royale Eatery,639,Burger Joint,-33.926424995293054,18.414893746376038,4b5b0a2ef964a5204ee028e3,City Bowl,191,Restaurant
48,Kamili Coffee,579,Café,-33.9281946457506,18.424161378704827,5815c9ba38faca7f0edac13e,City Bowl,7,Restaurant
49,Folk Coffee Anthropology,696,Coffee Shop,-33.91753472270826,18.422234815093752,56a92621498ec39c6d1af9f9,City Bowl,17,Restaurant
51,169 Long Street,526,Hookah Bar,-33.92550201883122,18.41572433527407,4eff47ac0aaffcf6f3ea1a90,City Bowl,6,Restaurant
52,Lefty's,650,BBQ Joint,-33.92932934700474,18.422901665223577,528facac498e0501256c6c95,City Bowl,54,Restaurant
53,Origin Coffee Roasting,791,Coffee Shop,-33.91716850036462,18.417625794294572,4b66dc61f964a520bf2d2be3,City Bowl,261,Restaurant
54,Batavia,594,Café,-33.920753,18.415625,569cc72a498ef7c41842e4f4,City Bowl,8,Restaurant
56,The General Store,607,Café,-33.918252507310086,18.42131374992924,5608ed91498e663eb282f805,City Bowl,5,Restaurant
58,Loading Bay,780,Restaurant,-33.91731728366644,18.417514705527676,4b5ae1b9f964a5209fd828e3,City Bowl,75,Restaurant
59,Bacon on Bree,720,Breakfast Spot,-33.92551572015049,18.41349967216239,55389934498e67b884f39cf2,City Bowl,34,Restaurant
60,San Julian Taco & Tequila,668,Mexican Restaurant,-33.91801746757688,18.41866140919453,4c1a77d7624b9c74ab6e1204,City Bowl,26,Restaurant
62,Active Sushi,772,Sushi Restaurant,-33.91740824798725,18.4174869406985,559c4dee498ee5bd5a9efe16,City Bowl,21,Restaurant
63,The Odyssey,648,Gastropub,-33.92491677354826,18.41413055432759,51a60085498eabc8e6518c7c,City Bowl,33,Restaurant
66,Atlas Trading,579,Food & Drink Shop,-33.921432063385176,18.415350358640882,4d25c78bbcc1224b43bf931b,City Bowl,7,Restaurant
69,"Seattle Coffee, The Towers",779,Coffee Shop,-33.919565151029474,18.42779236125447,565d37ef498e7ec1b1844dd8,City Bowl,8,Restaurant
70,Lindt Chocolate Studio,870,Dessert Shop,-33.91635811808607,18.4177782882725,4d6257e85b276dcbe6332ec6,City Bowl,12,Restaurant
71,Harvest Cafe,614,Café,-33.921241,18.415036,5a17b67ac9f9072c9ad13574,City Bowl,13,Restaurant
73,The Station on Bree,693,Cocktail Bar,-33.925319,18.413736,583873cef229952c8deb00e2,City Bowl,11,Restaurant
76,Sea Breeze,706,Seafood Restaurant,-33.92534801566513,18.413609372346354,594e4669c4df1d7f6c47400d,City Bowl,18,Restaurant
78,Roxy's Café,969,Pub,-33.931779428525026,18.41706455105335,4d31e8a1f8c9224b88baabd2,City Bowl,41,Restaurant
79,GROUND art caffe,820,Café,-33.917184519560436,18.41686286724883,580dc038d67c5d1952d9ba29,City Bowl,7,Restaurant
80,Molten Toffee,984,Café,-33.928605951557095,18.41212333031075,544a7302498e92c459bb4a90,City Bowl,35,Restaurant
81,The Yard,976,Burger Joint,-33.93235763040626,18.41924021763723,5049decbd63eaea07a7701d2,City Bowl,133,Restaurant
83,Sababa Kitchen and Deli,774,Deli / Bodega,-33.92591032311136,18.413039656082926,4e785de7ae60e5ae00352787,City Bowl,10,Restaurant
86,Haas,480,Coffee Shop,-33.92716344914026,18.42410703046114,5413fdb0498eec6ac4762769,City Bowl,38,Restaurant
87,Mustacchio Caffe,798,Restaurant,-33.92714162782837,18.413407802581787,57a779dd498e1c2e47e9a43d,City Bowl,22,Restaurant
91,La Petite Tarte,898,Café,-33.916158848541635,18.417538629557846,4b4b20f1f964a520c39226e3,City Bowl,38,Restaurant
93,Societi Bistro,946,French Restaurant,-33.92905575502097,18.413027816709768,4bba27f23db7b713cbf8229a,City Bowl,79,Restaurant
97,Harringtons,590,Bar,-33.92836390267279,18.424041823326455,57f79a87498e97194953e8c5,City Bowl,10,Restaurant
98,Minato,573,Sushi Restaurant,-33.9257409103586,18.415285322788296,4bc4db9af8219c74ecfeb710,City Bowl,4,Restaurant
3,Cabrito,287,Bar,-33.90831531811706,18.410981944139607,520bc1a011d235a4fadfa1ac,Atlantic Seaboard,31,Restaurant
4,Big Route Gourmet Pizzeria,247,Pizza Place,-33.90777064392352,18.409355365419817,500ec06be4b0bfdb6d36afd4,Atlantic Seaboard,50,Restaurant
5,Rocomamas,244,Burger Joint,-33.90775618003158,18.40918560395864,4bae48b1f964a5201d9d3be3,Atlantic Seaboard,49,Restaurant
6,El Burro,281,Mexican Restaurant,-33.90839898887066,18.41097445637066,4d0a3452454c6dcbd26e3d8e,Atlantic Seaboard,144,Restaurant
7,UpperBloem,333,Restaurant,-33.908406,18.411643,5b11ac0467f62b002c41022c,Atlantic Seaboard,6,Restaurant
9,nü,427,Juice Bar,-33.90901010449515,18.41301459647644,5412b432498eac1f78dbfcaf,Atlantic Seaboard,25,Restaurant
13,"Sky Bar, Cape Royale",325,Cocktail Bar,-33.909185562008865,18.411927726072136,4b93afb6f964a520f54c34e3,Atlantic Seaboard,21,Restaurant
16,Hudsons on Somerset,396,Burger Joint,-33.90905242086595,18.412678374192065,4ce6b7760f196dcb1d5f39ae,Atlantic Seaboard,134,Restaurant
22,Vida e Caffè,431,Coffee Shop,-33.90907535559835,18.413077327151708,4bf476342d62952104206058,Atlantic Seaboard,26,Restaurant
23,Shift Espresso Bar,362,Coffee Shop,-33.9087686348349,18.41218890327141,53aeb057498e7b9f40cde779,Atlantic Seaboard,34,Restaurant
25,Pigalle,844,Seafood Restaurant,-33.913161220900925,18.4167439564029,4bc0aaf8abf495217098bf93,Atlantic Seaboard,111,Restaurant
27,Grand Cafe and Beach,578,Café,-33.90553,18.41194,4be254e22fc7d13a6d5e083a,Atlantic Seaboard,186,Restaurant
