,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes
0,Orms Pro Photo Warehouse North,161,Electronics Store,-33.882375076737276,18.63626648785036,4c9757097605199caf20c8a3,Bellville,8
1,Limnos Bakery,178,Bakery,-33.88292471301843,18.635199240909177,4ba85f7bf964a52079d839e3,Bellville,11
2,Vida E Caffè,424,Café,-33.8800206224521,18.63583157110421,53884c6d498e39acdc8e2ea0,Bellville,13
3,M-Kem,531,Pharmacy,-33.88830814540221,18.635206236908818,4ba20672f964a520ffd637e3,Bellville,34
4,Yuz Sushi,420,Sushi Restaurant,-33.88008035580786,18.635715593392188,4dc19693b0fb1c18ee67094d,Bellville,8
5,Virgin Active Health Club,800,Gym,-33.87719041759904,18.63327861060014,4c41a7cb3735be9a23b218a4,Bellville,44
6,Woolworths,937,Department Store,-33.87543188038071,18.635184907982232,4c7e63d1b53db1f7b1ce9f11,Bellville,39
7,Cattle Baron Grill House,736,Steakhouse,-33.87873,18.63165,4daf12894df0f639f2595242,Bellville,20
8,Yummy zone,823,Sushi Restaurant,-33.87633671030918,18.636945057877476,4f47cbeae4b0683d4ec88271,Bellville,7
9,Copper Club Eatery,996,Burger Joint,-33.876739501953125,18.6301326751709,564dfed8498ee48b0efd5236,Bellville,5
10,Cantina Tequila,249,Mexican Restaurant,-33.88189197237465,18.63533815442785,4f9bb9cfe4b0b045845a4892,Bellville,9
11,Spar,817,Grocery Store,-33.8763890573547,18.636898567772572,4d74b8b19a296ea826f958a9,Bellville,5
12,Nando's,377,Portuguese Restaurant,-33.88044331,18.6358673,4c443536dd1f2d7f94777ff9,Bellville,10
13,Stones,356,Bar,-33.88067423375431,18.63574697560959,4d500e72abb4594169deb718,Bellville,3
14,Starlight Diner,434,Diner,-33.882986703781796,18.632254300055866,4c3701162c8020a160318800,Bellville,19
15,Buckleys Pub and Foosball Bar,229,Bar,-33.88204412884141,18.63544355459686,4bf2c0cc55c7c9b6bb736204,Bellville,9
16,Danskraal,780,Nightclub,-33.88937445136622,18.63185226917267,4c2658c83703d13a7f3aa536,Bellville,6
17,KFC,139,Fast Food Restaurant,-33.882901165544986,18.63574276080288,4c4f05d6fb742d7f5343432f,Bellville,4
18,Vesuvio Pizzaria,929,Pizza Place,-33.877582220784895,18.630070122624964,4eea3dc80aafda6d14e95d11,Bellville,9
19,Buena Vista Social Cafe,775,Cuban Restaurant,-33.88115810898158,18.62907886505127,4c990ed807916dcb0780f11b,Bellville,3
