,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Tips
0,Orms Pro Photo Warehouse North,Electronics Store,161,-33.882375076737276,18.63626648785036,4c9757097605199caf20c8a3,Bellville,8,2
1,M-Kem,Pharmacy,531,-33.88830814540221,18.635206236908818,4ba20672f964a520ffd637e3,Bellville,34,5
2,Virgin Active Health Club,Gym,800,-33.87719041759904,18.63327861060014,4c41a7cb3735be9a23b218a4,Bellville,44,7
3,Woolworths,Department Store,937,-33.87543188038071,18.635184907982232,4c7e63d1b53db1f7b1ce9f11,Bellville,39,5
4,Spar,Grocery Store,817,-33.8763890573547,18.636898567772572,4d74b8b19a296ea826f958a9,Bellville,5,1
5,Danskraal,Nightclub,780,-33.88937445136622,18.63185226917267,4c2658c83703d13a7f3aa536,Bellville,6,1
6,"Toys""R""Us",Toy / Game Store,573,-33.88781116929973,18.633071311495975,4cc2d84f01fb236acb72a1ba,Bellville,0,1
7,Sportsmans Warehouse,Sporting Goods Shop,897,-33.87647515077462,18.632645303899558,4d5e3d479f67f04dda0a5efb,Bellville,2,3
8,City Hall,City Hall,305,-33.92518468373031,18.423782589572202,4b6b08e2f964a5202aee2be3,City Bowl,21,13
9,Moro Gelato,Dessert Shop,360,-33.924214,18.41714,597ca4f5a6fe4d0dfc06d374,City Bowl,14,3
10,Fugard Theatre,Theater,499,-33.92717880771957,18.424410697680713,4bcede8d29d4b7132923a9dc,City Bowl,86,13
11,The Village Idiot,Gastropub,453,-33.91963019785271,18.421090721074922,555f5e28498ea0e938a87696,City Bowl,108,13
12,Chef's Warehouse,Gourmet Shop,387,-33.92100804792549,18.418339600414377,4ccfdd336200b1f79f96d028,City Bowl,69,23
13,Caroline's Fine Wine Cellar,Wine Shop,363,-33.920482499461805,18.421647548675537,4f1415e1d5fb04999e8b0cb4,City Bowl,7,4
14,Grand Parade,Plaza,364,-33.92479551956173,18.424709857885166,4bd867c10b779c74f70d07a0,City Bowl,46,6
15,The Company's Garden,Park,488,-33.92661508536071,18.417030992890194,4b615fb6f964a52064112ae3,City Bowl,211,58
16,New York Bagel,Bagel Shop,573,-33.92812216330304,18.42418736238842,54350aca498e511cba960528,City Bowl,39,16
17,The Book Lounge,Bookstore,626,-33.92930614229909,18.42168843738291,4b9e4a4cf964a5209dd736e3,City Bowl,38,13
18,Skinny laMinx,Furniture / Home Store,653,-33.924987260907464,18.4140944480896,502c9a5d067d5b50e0ba9eb8,City Bowl,39,0
