,Name,Categories,Distance,Latitude,Longitude,Id,Neighborhood,Likes,Rating
0,Orms Pro Photo Warehouse North,Electronics Store,161,-33.88237507673728,18.63626648785036,4c9757097605199caf20c8a3,Bellville,8,No Rating Yet
1,Limnos Bakery,Bakery,178,-33.88292471301843,18.635199240909177,4ba85f7bf964a52079d839e3,Bellville,11,No Rating Yet
2,Vida E Caffè,Café,424,-33.8800206224521,18.635831571104212,53884c6d498e39acdc8e2ea0,Bellville,13,No Rating Yet
3,M-Kem,Pharmacy,531,-33.88830814540221,18.635206236908818,4ba20672f964a520ffd637e3,Bellville,34,No Rating Yet
4,Yuz Sushi,Sushi Restaurant,420,-33.880080355807856,18.635715593392188,4dc19693b0fb1c18ee67094d,Bellville,8,No Rating Yet
5,Virgin Active Health Club,Gym,800,-33.87719041759904,18.63327861060014,4c41a7cb3735be9a23b218a4,Bellville,44,No Rating Yet
6,Woolworths,Department Store,937,-33.87543188038071,18.635184907982236,4c7e63d1b53db1f7b1ce9f11,Bellville,39,No Rating Yet
7,Cattle Baron Grill House,Steakhouse,736,-33.87873,18.63165,4daf12894df0f639f2595242,Bellville,20,No Rating Yet
8,Yummy zone,Sushi Restaurant,823,-33.87633671030918,18.63694505787748,4f47cbeae4b0683d4ec88271,Bellville,7,No Rating Yet
9,Copper Club Eatery,Burger Joint,996,-33.876739501953125,18.6301326751709,564dfed8498ee48b0efd5236,Bellville,5,No Rating Yet
10,Cantina Tequila,Mexican Restaurant,249,-33.881891972374646,18.635338154427853,4f9bb9cfe4b0b045845a4892,Bellville,9,No Rating Yet
11,Spar,Grocery Store,817,-33.8763890573547,18.63689856777257,4d74b8b19a296ea826f958a9,Bellville,5,No Rating Yet
12,Nando's,Portuguese Restaurant,377,-33.88044331,18.6358673,4c443536dd1f2d7f94777ff9,Bellville,10,No Rating Yet
13,Stones,Bar,356,-33.88067423375431,18.635746975609592,4d500e72abb4594169deb718,Bellville,3,No Rating Yet
14,Starlight Diner,Diner,434,-33.8829867037818,18.632254300055862,4c3701162c8020a160318800,Bellville,19,No Rating Yet
15,Buckleys Pub and Foosball Bar,Bar,229,-33.88204412884141,18.63544355459686,4bf2c0cc55c7c9b6bb736204,Bellville,9,No Rating Yet
16,Danskraal,Nightclub,780,-33.88937445136622,18.631852269172672,4c2658c83703d13a7f3aa536,Bellville,6,No Rating Yet
17,KFC,Fast Food Restaurant,139,-33.882901165544986,18.63574276080288,4c4f05d6fb742d7f5343432f,Bellville,4,No Rating Yet
18,Vesuvio Pizzaria,Pizza Place,929,-33.87758222078489,18.630070122624964,4eea3dc80aafda6d14e95d11,Bellville,9,No Rating Yet
19,Buena Vista Social Cafe,Cuban Restaurant,775,-33.88115810898157,18.62907886505127,4c990ed807916dcb0780f11b,Bellville,3,No Rating Yet
20,Live Mart,Asian Restaurant,421,-33.880012175929075,18.636011336630194,4d318d8c2c76a143ca9d66c7,Bellville,2,No Rating Yet
21,Deeghuys,Bakery,724,-33.888883089720984,18.632073911868595,51a9d161498e5d7766af448a,Bellville,5,No Rating Yet
22,Sasol Oaks Service Station,Gas Station,887,-33.89066009,18.63211119,4e3059fcc65b80dfd84a37f2,Bellville,1,No Rating Yet
23,Kamili Coffee,Coffee Shop,217,-33.922034000000004,18.41977,53ca29bb498e3cb77a910554,City Bowl,74,No Rating Yet
24,Fork Restaurant,Tapas Restaurant,219,-33.92233666328434,18.41928576141392,4b52225cf964a5208e6a27e3,City Bowl,96,No Rating Yet
25,Bombay Brasserie,Indian Restaurant,162,-33.92476688168477,18.41978583783833,4baa769ff964a5207d6c3ae3,City Bowl,35,No Rating Yet
26,Aces 'n Spades,Bar,273,-33.92138527642458,18.42000551633646,502e9348e4b047efecff0430,City Bowl,121,No Rating Yet
27,City Hall,City Hall,305,-33.92518468373031,18.4237825895722,4b6b08e2f964a5202aee2be3,City Bowl,21,No Rating Yet
28,Bread Milk & Honey,Café,206,-33.92551953577516,18.421444371745203,4b864d10f964a5203f8531e3,City Bowl,64,No Rating Yet
29,The Gin Bar,Cocktail Bar,371,-33.92273288691907,18.417150034224644,54d63408498e31d1e8e09e57,City Bowl,132,No Rating Yet
30,Addis in Cape,Ethiopian Restaurant,237,-33.92288952723883,18.41861984267377,4bc8a3538b7c9c74978f38cf,City Bowl,84,No Rating Yet
31,Grand Daddy Hotel,Hotel,289,-33.92111949925801,18.42066498034945,4b83ea28f964a520771631e3,City Bowl,75,No Rating Yet
32,Moro Gelato,Dessert Shop,360,-33.924214,18.41714,597ca4f5a6fe4d0dfc06d374,City Bowl,14,No Rating Yet
33,Daddy cool,Bar,287,-33.921155,18.420494,4be0617898f2a593360cc25a,City Bowl,12,No Rating Yet
34,Taj Cape Town,Hotel,160,-33.92447827742117,18.41952301924581,4d26a54b068e8cfac9efb24c,City Bowl,84,No Rating Yet
35,Yourstruly,Coffee Shop,370,-33.924319433402374,18.417055746248256,4cd50dac8e5b6a317f1b74ac,City Bowl,62,No Rating Yet
36,The Shortmarket Club,French Restaurant,343,-33.92131098622614,18.41865200787468,577801a2498ee32e9821b7ae,City Bowl,59,No Rating Yet
37,Honest Chocolate Café,Café,370,-33.92273011702641,18.41715598581713,54955dc0498e505982e2a598,City Bowl,49,No Rating Yet
38,Food Lover's Market,Restaurant,118,-33.92317129835544,18.41988525681402,50c98ac5e4b090de85b20bed,City Bowl,94,No Rating Yet
39,91 Loop,Hostel,296,-33.922020394401216,18.418511166831728,57420daa498ec52815f93c68,City Bowl,24,No Rating Yet
40,Tjing Tjing Rooftop Bar,Cocktail Bar,253,-33.92235980952539,18.41877245743985,4d8097c58edaa1439257f139,City Bowl,87,No Rating Yet
41,The Cousins Trattoria,Italian Restaurant,331,-33.926677235428954,18.421202509838977,51379f99e4b04f7260ce8840,City Bowl,29,No Rating Yet
42,House Of Machines,Café,275,-33.921615600585945,18.419389724731445,521898c511d265d4f79bf211,City Bowl,107,No Rating Yet
43,The Poké Co.,Sushi Restaurant,299,-33.921862,18.418623999999998,5accea19bed4835eb87c3041,City Bowl,8,No Rating Yet
44,Fugard Theatre,Theater,499,-33.92717880771957,18.424410697680713,4bcede8d29d4b7132923a9dc,City Bowl,86,No Rating Yet
45,The Village Idiot,Gastropub,453,-33.91963019785271,18.421090721074922,555f5e28498ea0e938a87696,City Bowl,108,No Rating Yet
46,Chef's Warehouse,Gourmet Shop,387,-33.92100804792549,18.418339600414374,4ccfdd336200b1f79f96d028,City Bowl,69,No Rating Yet
47,Truth Coffee HQ,Café,536,-33.92828568736539,18.422794587233103,4fa0c477e4b0c33ec64258bf,City Bowl,615,No Rating Yet
