,postalCode,name,distance,categories,lat,lng,id,City,Neighborhood
0,7974,Vishoek Beach,8074,Beach,-34.140835516408664,18.664044233870648,4d0db0447d28721e138efa20,Cape Town,False Bay
1,7975,Seal Island,9758,Scenic Lookout,-34.13757875690272,18.58264446258545,4c95007a209fef3b6b688e91,Cape Town,False Bay
0,7530,M-Kem,531,Pharmacy,-33.88830814540221,18.635206236908818,4ba20672f964a520ffd637e3,Cape Town,Bellville
1,,Vida E Caffè,424,Café,-33.8800206224521,18.63583157110421,53884c6d498e39acdc8e2ea0,Cape Town,Bellville
2,,Orms Pro Photo Warehouse North,161,Electronics Store,-33.882375076737276,18.63626648785036,4c9757097605199caf20c8a3,Cape Town,Bellville
3,,Ou Meul Bakkery,1590,Café,-33.87021614866072,18.631309514987937,535e1616498e6c5d20a1a50d,Cape Town,Bellville
4,,Boston Coffee,1767,Coffee Shop,-33.89318606691485,18.62150184480991,54926e1f498e89679bdd2a49,Cape Town,Bellville
5,7530,Food Lover's Market,1888,Supermarket,-33.86715641,18.63250875,4b920d17f964a52018e533e3,Cape Town,Bellville
6,7530,Virgin Active Health Club,800,Gym,-33.87719041759904,18.63327861060014,4c41a7cb3735be9a23b218a4,Cape Town,Bellville
7,,Jerry's Burger Bar,1439,Burger Joint,-33.8714383391959,18.632033320080712,56740de3498e17815dc6b777,Cape Town,Bellville
8,,Woolworths,937,Department Store,-33.87543188038071,18.635184907982232,4c7e63d1b53db1f7b1ce9f11,Cape Town,Bellville
9,,Limnos Bakery,178,Bakery,-33.88292471301843,18.635199240909177,4ba85f7bf964a52079d839e3,Cape Town,Bellville
10,8001,Col'Cacchio,1583,Pizza Place,-33.8702433912994,18.631449919945567,4dcd25eb3151a1df1e492bb8,Cape Town,Bellville
11,7530,The Hussar Grill,1443,Steakhouse,-33.871559155849695,18.631494164475622,4c14b2afa1010f4796d54c18,Cape Town,Bellville
12,,Woolworths Food Welgemoed Forum,2028,Food & Drink Shop,-33.873952901088266,18.618354055896813,4c9a3b579c663704afe456fd,Cape Town,Bellville
13,,Yuz Sushi,420,Sushi Restaurant,-33.88008035580786,18.635715593392188,4dc19693b0fb1c18ee67094d,Cape Town,Bellville
14,,Barnyard Theatre,1647,Theater,-33.869612720588414,18.631518900102332,4bf2dd43e5eba593a9e51d90,Cape Town,Bellville
15,,Vida E Caffe,1024,Coffee Shop,-33.87467483208203,18.634894570475733,4f45ee72e4b07d8af2efc171,Cape Town,Bellville
16,7530,Vida e Caffè,1587,Coffee Shop,-33.87021238718739,18.631425073283964,4b73c2acf964a520eaba2de3,Cape Town,Bellville
17,7530,Mugg & Bean,1224,Coffee Shop,-33.872795,18.635484,4ba7a4cef964a52081a539e3,Cape Town,Bellville
18,,Willowbridge Shopping Centre,1548,Shopping Mall,-33.87052642449106,18.63159260952991,4b827722f964a52008d430e3,Cape Town,Bellville
19,7530,Exclusive Books,1270,Bookstore,-33.872596249011494,18.633854984543508,4cd6908f122ba1431d7e33a1,Cape Town,Bellville
20,7536,Cattle Baron Grill House,736,Steakhouse,-33.87873,18.63165,4daf12894df0f639f2595242,Cape Town,Bellville
21,,Dutch Haven,1759,Bistro,-33.86820249934682,18.64043011687884,5395908a498edbdef876c6f3,Cape Town,Bellville
22,7357,SPAR Vredekloof,5024,Convenience Store,-33.85910914,18.68242682,4e873445b634c60eee3f5178,Cape Town,Bellville
23,7530,Tyger Waterfront,1043,Office,-33.876702988162556,18.629400662289278,4bcc70a80687ef3b5433dfcc,Cape Town,Bellville
24,7530,Burger Fair,2486,Fast Food Restaurant,-33.90377171056637,18.648757309119112,4c599205d3aee21ebf7d6855,Cape Town,Bellville
25,7550,The Vineyard Deli,2404,Deli / Bodega,-33.86229975596597,18.63363076849041,4c7b79422d3ba143031394d0,Cape Town,Bellville
26,,Arugula Bistro & Bread,2019,Restaurant,-33.8739241137782,18.61848919084369,4f7ea198e4b077c1807d3e4f,Cape Town,Bellville
27,,Glen Garry Shopping Centre,4423,Shopping Mall,-33.856768467010056,18.672027477890293,4d7e10fe9df3f04d7b61bd94,Cape Town,Bellville
28,7500,Pick 'n Pay,6279,Supermarket,-33.86557648309723,18.572547316620064,4c5c22a19b28d13aaedd5570,Cape Town,Bellville
29,,De Oude Welgemoed Restaurant,2469,Pizza Place,-33.87043028504159,18.615483843164842,4e7d7dd69a521ffdaa4e03ea,Cape Town,Bellville
30,,The Olive Bistro,6009,Gastropub,-33.83118824137428,18.651800219788324,509631b1e4b0cb1b32536eb7,Cape Town,Bellville
31,,Bossa Social Cafe & Bar,1211,Cocktail Bar,-33.875031632145934,18.628989754192688,514de7ace4b08621ab8d3b9f,Cape Town,Bellville
32,7500,SPAR,5503,Grocery Store,-33.873954,18.578498,4c5c37b7fff99c74ea2f33d3,Cape Town,Bellville
33,,Copper Club Eatery,996,Burger Joint,-33.876739501953125,18.6301326751709,564dfed8498ee48b0efd5236,Cape Town,Bellville
34,7530,Tyger Valley Centre,1255,Shopping Mall,-33.8726891648905,18.634115104706325,4b45b6a9f964a5207f0f26e3,Cape Town,Bellville
35,,Tygerberg hill,2501,Scenic Lookout,-33.889035792645,18.610560895385028,4f2252cbe4b083187463a574,Cape Town,Bellville
36,,Woolworths Food,4441,Grocery Store,-33.856709034831155,18.67222186215664,4cd039c648b837047a1cf1de,Cape Town,Bellville
37,,Virgin Active Health Club,6457,Gym,-33.84982643441175,18.69355802745639,4c5459c71b46c9b65be171ce,Cape Town,Bellville
38,,Yummy zone,823,Sushi Restaurant,-33.87633671030918,18.636945057877476,4f47cbeae4b0683d4ec88271,Cape Town,Bellville
39,,IMAX,6574,Multiplex,-33.85234358648886,18.697125080276752,5497085c498e9c88a8273b51,Cape Town,Bellville
40,7550,Cattle Baron,6125,Steakhouse,-33.83008157677166,18.651610845286047,4c1de818b306c928534866b7,Cape Town,Bellville
41,7530,Silver Spur,1156,Breakfast Spot,-33.8923636547782,18.629902200687045,4d4c48201ae437042ceef260,Cape Town,Bellville
42,7560,Woolworths Cape Gate,6482,Department Store,-33.85282412048405,18.696314967231444,4bd68b36cfa7b71326c827da,Cape Town,Bellville
43,,Pick 'n Pay,1174,Grocery Store,-33.873319535551154,18.63482902784354,4d5944ebfe7c224b902276b5,Cape Town,Bellville
44,,Pick n Pay Hypermarket,4611,Shopping Mall,-33.883470291100515,18.68676670197481,4cbab08ebac93704636fed7c,Cape Town,Bellville
45,7551,Eat@Altydgedacht,4202,Restaurant,-33.847325908631674,18.624847393741074,4d1dc5e4f7a9a143cc2a139f,Cape Town,Bellville
46,,Ke Monate Restaurant,7455,Tapas Restaurant,-33.82026274508434,18.61112289388409,4df3b5bed22d8c5470ded047,Cape Town,Bellville
47,,Alberto's Restaurant and Pub,6466,Restaurant,-33.82647111693134,18.64860625666377,4be9a0a8a9900f479f8d1540,Cape Town,Bellville
48,,Die Boer,6093,Music Venue,-33.830183572547405,18.6505284571695,4c1b5218013795210ddb46f3,Cape Town,Bellville
49,,Checkers,1842,Grocery Store,-33.86784230906674,18.631309359614175,4c7cf12faa3ba093c0faab74,Cape Town,Bellville
50,,Greens,6320,Italian Restaurant,-33.86508531544863,18.57228084634829,4cd514f794848cfa1810e4b1,Cape Town,Bellville
51,,D'Aria Wine Farm,5343,Winery,-33.841377373098695,18.609662131179853,4c5ff1df12e5c92872fd1d4c,Cape Town,Bellville
52,7560,Panda's Chinese Restaurant & Takeaway,7072,Chinese Restaurant,-33.883005376249976,18.71339979497272,4c56f7827329c928f1bd8d80,Cape Town,Bellville
53,,Yang yangs,2409,Chinese Restaurant,-33.882451720499006,18.662901767670377,4dd69e367d8b322663db5ac3,Cape Town,Bellville
